iter	Passed	Remaining
0	173	17177
1	191	9378
2	210	6816
3	228	5484
4	243	4629
5	256	4017
6	267	3547
7	278	3207
8	290	2933
9	300	2705
10	310	2509
11	319	2340
12	328	2195
13	336	2066
14	345	1957
15	354	1862
16	362	1771
17	370	1687
18	378	1615
19	386	1544
20	393	1480
21	400	1420
22	407	1363
23	413	1310
24	420	1260
25	427	1215
26	434	1175
27	442	1138
28	450	1102
29	458	1069
30	465	1036
31	473	1005
32	481	976
33	488	947
34	495	920
35	503	895
36	510	869
37	517	845
38	526	823
39	533	800
40	540	778
41	549	758
42	556	738
43	565	719
44	573	700
45	580	681
46	589	664
47	596	645
48	603	628
49	612	612
50	620	596
51	628	580
52	637	564
53	645	549
54	653	534
55	662	520
56	671	506
57	680	492
58	688	478
59	697	464
60	705	451
61	714	437
62	723	425
63	732	411
64	741	399
65	749	385
66	757	373
67	765	360
68	775	348
69	783	335
70	791	323
71	798	310
72	807	298
73	816	286
74	823	274
75	832	262
76	839	250
77	848	239
78	857	227
79	868	217
80	877	205
81	885	194
82	893	182
83	899	171
84	907	160
85	915	149
86	923	137
87	930	126
88	939	116
89	948	105
90	956	94
91	963	83
92	972	73
93	980	62
94	988	52
95	995	41
96	1003	31
97	1011	20
98	1017	10
99	1025	0
